[[0:05 | t=5]] [музыка] Всех приветствую. Мы с вами постепенно
[[1:14:24 | t=4464]] Каким образом? Во-первых, ну, вот можно там сказать: "Сейчас я пришлю тебе цифры по ключевым метрикам. Твоя задача проанализировать цифры, сопоставить данные с целями". То есть, чтобы не расеть ссылалась на не на просто какую-то вот базовую информацию о том, что хороший показатель в рекламе - это там CR 3%. В какой рекламе? А у вас может быть ниша какая-то суперсложная, где показатель CTR 05 а будет просто каким-то чудом. При этом у вас стоимость продукта огромная и а за счёт этого у
[[1:14:55 | t=4495]] вас там всё будет супер, а CTR 3% просто недостижим. То есть контекст, контекст и контекст добавляем. А дальше промты для анализа контента можно использовать следующее. Там сформулирует текстовое описание результатов работы наших соцсетей за период включая основные достижения и недостатки. Какие рекомендации можно сделать на основе проведённого анализа для улучшения нашей стратегии на следующий период? И как лучше всего изложить, чтобы они были ясны, мотивировали команду к действию. То есть разные варианты можно использовать. А
[[1:15:25 | t=4525]] самое главное, что всегда вам нужно уточнять э детали и добивать, назовём это так, не расеть до победного, пока не получите желаемый результат. А всегда контролировать, что отвечает, что нужно улучшить, спрашивать. Если предлагает что-то базовое, то запрещать предлагать темы начального какого-то уровень уровня, какие-то подобные варианты. А ещё что делать? Аа ещё мы делали вот такой промт, который поможет в сложных
[[1:15:56 | t=4556]] ситуациях. Он вот здесь справа есть. Ну, кратенько, потому что промт огромный. Вы можете отсканировать QR-код, а, и копировать этот промт целиком. А как он работает? Его нужно вставить целиком. Э, этот промт вживает чат GPT под конкретную роль такого решателя, а, в самых сложных запутанных ситуациях. И потом вы можете присылать ему, что нужно решить. Там это может быть связано с контентом, с маркетингом глобальным, с таргетом, с аналитикой. Ну, то есть всё вот вот такое
[[1:16:27 | t=4587]] заточенное. И также вы можете в SMM Planner вот это всё, что я рассказывал, делать по созданию там стратегии, по созданию контента. При этом через SMM-пнер вы можете весь контент создать, сразу запланировать, добавить в него изображение, проанализировать. То есть всё из одного места. А как бы это не звучало, всё вы можете делать в одной системе, в одной платформе и зациклить весь этап производства контента. Также у
[[1:16:57 | t=4617]] нас сейчас в бета-тесте есть такая функция, которую вы можете потестировать. Мы собираем активно обратную связь. А в чём принцип? В том, что ещё больше автоматизации добавляется. Функция называетсямщк. Вы можете просто сказать, что у вас за проект, что у вас за тематика. И это эсэмэмщик сразу выдаст вам семь готовых постов на разные темы для аккаунтов. При этом это будут не только посты просто, но и посты сразу с изображениями. Там этап с изображениями сейчас дорабатывается, но суть в том, что вы
[[1:17:28 | t=4648]] получаете какие-то готовые результаты, которые вам нужно только согласовать. Вы можете их отредактировать, можно что-то глобальное заменить, можно что-то небольшое заменить, и сразу попадаете в форум постинга, где вам остаётся просто выбрать, что, да, хочу выложить этот пост вот в такое время в этих соцсетях. Можно запланировать так выход контента хоть там на год вперёд, а посты не будут повторяться там. А прот сделан так, что будет вам всегда добавлять разнообразие. А, и попробовать асмэмщика можно либо
[[1:17:58 | t=4678]] отсканировав этот QR-код, либо по ссылке перейдя, можно ещё написать в чат с поддержкой и просить там потестировать асмэмщика. А будем рады обратную связь получить от вас. А потом в презентации вы можете отдельно а всё это ещё раз скопировать, отсканировать все QR-коды. И также через графический редактор Host, как я и говорил, можно добавлять разные картинки, можно карточки делать. Вообще через host можно делать всё, что душевой угодно. Можно там карточки товаров под
[[1:18:29 | t=4709]] Оzone, Wiberies, любые маркетплейсы, можно оформление страниц разных соцсетей, обложки, картинки для постов, конечно же, там под 2.000 шаблонов по разным тематикам. А есть встроенная база фотостока и также можно с нуля создавать свои какие-то изображения. А, собственно, на картинке вот такой текст про все мечты, которые будут забываться. И я хочу, чтобы у вас все ваши задачи, связанные с контентом, тоже исполнялись, забывались, чтобы всё у вас, а, всегда
[[1:18:59 | t=4739]] получалось. А по вот этому промокоду, который вы сейчас видите, вы получите полный доступ к SMM-планеру, ко всем функциям, которые есть. Всё, что я сказал сейчас, там показывал на слайде, всё это будет доступно. Промокод вы видите сейчас на экране. Ввести его нужно будет до конца месяца и получите полный доступ. Даже если уже ранее пользовались сервисом или пользуетесь сейчас, вы в таком случае получите а дополнительные дни. А теперь с радостью отвечу на ваши вопросы. В тайминг как
[[1:19:30 | t=4770]] раз вроде бы уложились. Чуть-чуть времени у нас на вопросы есть. >> Да, всё отлично, спасибо. Сразу такой вот вопрос по поводу. Как раз там и вопрос доки лучше размещать для RAГ. Э-э, я думаю, тут лучше как раз уточнить, что это такое, кто с этим ещё не сталкивался. >> А, да, сейчас, а я предлагаю начать даже не с этого, а в целом там были вопросы про, а, то, что можно использовать, как
[[1:20:01 | t=4801]] подключить GPT и сколько стоит. Во-первых, а там, да, к тому, начнём по порядку. А во-первых, э, видел, что в чате там писали как раз, что можно использовать, э, бе вы можете использовать бесплатные GPT-агенты, если вам кто-то даёт к ним доступ. То есть один человек может сделать какого-то GPT-агента, дать вам к нему доступ, вы сможете его использовать. Второй момент, вы можете под себя делать стоит 20 долларов. А что
[[1:20:33 | t=4833]] касается, когда вы будете там использовать внешние источники, да, можно. Я по опыту своему больше чаще прикрепляю именно вот какие-то документы, в которых есть какая-то информация. Но у меня больше э специфика запросов всегда бывает, когда нужно помнить какую-то не сильно большую информацию и там а это всё обычно нормально работает. А важно на самом деле больше, а вот помимо ссылки на файл, а допнастройки, когда вы, а,
[[1:21:04 | t=4864]] внутри промта, на который ссылается у вас чат GPT, используете аа дополнительные настройки на то, в какую роль должен применить на себя. Потому что если вы вводите просто пром с какой-то общей информацией и чат GPT на неё ссылается, он зачастую это будет делать как стандартный чат GPT. Ну вот такой тон у него будет условно нейтральный. Если вам нужно погрузить его во что-то дополнительное. Там есть отдельный блок. А, ну, к сожалению, у
[[1:21:34 | t=4894]] меня скриншота сейчас нет, а то можно было бы показать. А, и в этом блоке вы настраиваете его тоже роль отдельно дополнительно. >> Угу. Хорошо. Какой ещё вопрос? Интересно сейчас затронуть. А, >> в частности, можно как раз про чат GPT в плане того, что там платно есть чат GPT, как создать чаты и вот это всё вместе. >> Да, по поводу платного чат GPT.
[[1:22:06 | t=4926]] Во-первых, как раз вот, как я сказал, в SMM Planner мы тоже у нас встроен чат GPT, а и при этом он встроен сразу в сервис. Вам не нужно, то есть использовать VPN, а вам не нужно отдельно за него платить. Всё это внутри планра доступно. Всё это интегрировано с разными допнадстройками, с ассистентами под разные задачи. Аа то есть вы можете использовать это таким образом. А единственное, на самом деле, что на са про чат GPT стоило добавить, когда я вот
[[1:22:36 | t=4956]] говорил там про Perplexity тоже, а очень часто я вижу, когда люди анализируют сайты, а, в частности, там у нас кто-то в команде создавал чат GPT под анализ сайтов. А-а, стоит понимать, что если вы скармливаете какую-то ссылку под анализ не только сайтов, но и соцсетей тоже, а хотите сделать там конкурентный анализ, например, или найти какие-то недостатки, а проблема чат GPT, что когда вы скармливаете ему ссылку, он а не переходит по ней, он аа старается по
[[1:23:08 | t=4988]] содержанию ссылки, потому что в ней содержится, угадать, что находится на странице, а, которая посещает. А, поэтому всегда добавляйте либо скриншотами в сайт, в этом случае хорошо всё расшифрует, либо просто копируйте всё текстом, а, отправляете чат GPT, в таком случае получите анализ. В иных случаях, когда даёте ссылку, результата хорошего часто не будет. >> Да, пожалуй, это правда стоит учитывать. Хорошо, вернёмся к RГ. В чём отличие от
[[1:23:41 | t=5021]] нейросетей, от того же чарта GPT? А так, а если мы говорим про РГ, то он дополняется у нас через поиск, когда он, насколько я помню, сейчас не соврать бы, что у нас как в GPT в последних версиях можно было дополнительно добавлять поиск по интернету, к сети подключаться, но боюсь, что я тут сейчас совру. А когда он ссылается у нас на м
[[1:24:13 | t=5053]] непосредственно к основной базе данных, который использует там внешние источники, ну то есть на что-то ссылается, мы можем загрузить отдельно, использовать это. >> Хорошо. Так, а что значит разметить данные? О, сколько вопросов пошло. Так, >> так, разметить данные. Хороший вопрос. К чему это относится? Наверное, данные, которые мы отправляем в нейросеть.
[[1:24:43 | t=5083]] А уточним. А, Марина, напомните, в каком контексте прозвучала эта фраза. Сейчас мы тогда тут разберёмся. Вот. А пока ещё такой вопрос. В чём отличие SMMпнер от других аналогов, например, зарубежных? А SMM Planner сейчас, если раньше всё строилось вокруг непосредственно создание отложенного постинга или кросс-постинга SMN-пannerр, во-первых, с учётом законопроектов, которые
[[1:25:13 | t=5113]] принимаются сейчас на использование зарубежных сервисов, SMMпнер, а хранит все данные в России, а SMM планеer хранит сервера в России и, соответственно, вы можете смело его использовать. А, во-вторых, у нас акцент идёт на публикацию, возможности публикации сразу в разных соцсетях, аа, которых не представлено зачастую в зарубежном рынке. Ну, то есть тот же Нчат там, а тот те же мессенджеры разные, а тот же Viber, да, на самом
[[1:25:44 | t=5144]] деле парадоксально, но Viber очень часто используют, насколько я помню, в сибирских регионах, ну, Беларусь есть, есть регионы Сибири и паратодоксально, что там используют. То есть акценты на этом. Ну, и в целом, а, как вот такой комплекс, где можно делать сразу всё из одного места, из коробки. >> Угу. Удобно, согласен. А сколько стоит SMMпнер? >> А, по-разному. А, всё зависит от тарифа, который вы выберете. Есть, то есть
[[1:26:14 | t=5174]] пробная версия, а есть отдельно тариф под непосредственное использование холста, чтобы графический редактор только использовать. Ну и там под количество подключа подключения а социальных сетей. >> Супер. Да, согласен. Тут лучше как раз уже внимательно изучить. Какие возможности нам подходят? >> Да, в целом просто проще всего зайти в тарифы и там всё это изучить. >> Очень хорошо. Э, так, касательно
[[1:26:45 | t=5205]] разметить данные, это вот как раз в обсуждении габы было. То есть мы как раз размечаем данные, чтобы отправить в раг. А-а, так, по поводу рак. А давайте, наверное, я отдельно текстом напишу, а-а, в комментарии, а-а, чтобы была какая-то готовая примерная инструкция. По-моему, у нас было как раз что-то, а, в статьях про это, и я прикреплю эту информацию. >> Супер. Хорошо. Как раз и вот спрашивают
[[1:27:17 | t=5237]] ссылку на тарифы. Я думаю, тут всё вместе тогда можно и отправить. >> Вот тогда, да, будем тогда и двигаться дальше. Всё, письменно тогда продолжаем общаться. Спасибо, что рассказал так подробно. Спасибо, что подключился. Всё очень чётко. Спасибо. >> Да, спасибо. >> Вот и мы с вами продолжаем дальше. И теперь переходим к последнему докладу. Тут я уже продолжу и расскажу про Telegram. В общем-то, сейчас мы как раз выведем презентацию и погнали. Значит, да, Telegram. Площадка популярная,
[[1:27:48 | t=5268]] площадка актуальная, активная. Важно в ней рассматривать различные возможности для продвижения, потому что людей много-много времени проводят, соответственно, и площадка подстраивается под это поведение, чтобы рекламодателям тоже было актуально. А с простых моментов начнём, что Telegram, конечно, у нас пишется с одной м, ну, как он так и называется, но кто-то пишет с двумя М. Это, в принципе, логично, потому что всё по русскому языку от слова Телеграма. Но опять же это интересный момент, потому что бывает,
[[1:28:18 | t=5298]] что в комментарии пишут, что вообще-то нет, с одной м пишется. А это и хорошо, что пишут, потому что Telegram - это такое пространство, как и ВКонтакте, Одноклассники, нельзя грам, созданно для общения. Получается, если нам комментарии пишут уже хорошо, значит, мы сейчас это общение тут и продолжим. Ну, кстати, касательно того, что я специально говорил именно площадка, но не сказал соцсеть, потому что технически, да, себя Telegram позиционирует как месengжер, а, да, как
[[1:28:49 | t=5329]] с одной м, как и Нельзяграм, правда, тоже пишут с двумя мм, но ладно, не суть. Опять же, хорошо, что есть коммуникация. Вот. И получается Telegram, с одной стороны, это и мессengджер, но, пожалуй, стопроцентным мессенджером его не назовёшь, как, например, WhatsApp, потому что в Телеграме больше интерфейса, больше возможностей. Ну и, пожалуй, ещё пока сложно назвать его полноценной соцсетью, как, например, ВКонтакте, у которого есть алгоритмическая новостная лента. Мы всё-таки должны заходить в конкретный канал, чтобы в итоге видеть материалы. Поэтому кажется, что это нечто
[[1:29:21 | t=5361]] посерединке, да, то, что а в итоге это идёт в сторону того, что превращается в отдельную экосистему. А, да, главное уметь в них зарабатывать, в этих соцсетях. Согласен. А то, что ходит в слуки про закрытие телеграма, переходе на Макс и то, что там он на парковке ловит. С одной стороны, это, конечно, идёт развитие отечественного мессенджера. Он как раз от ВКонтакте, от ВК групп. С другой стороны, здесь как раз идут слухи о том, что вот как бы постараются ограничить как будто бы Telegram, чтобы мы перешли в Макс. А скорее всего, ну, конечно, как это
[[1:29:52 | t=5392]] скажу, как настоящий мужчина, посмотрим. Но с другой стороны, а, кажется, что это и сценарий мало такой реализуемый с точки зрения того, что и представители власти ведь тоже Telegram используют. И тогда нужно как минимум сначала настроить инфраструктуру у Макса, чтобы в итоге а действительно была мотивация туда переходить и был по сути реально аналог Телеграма. Ну, посмотрим, будем следить за этим. Тем более, что если Макс будет копировать функции Телеграма, то, пожалуй, актуально то, что мы сегодня как раз и
[[1:30:22 | t=5422]] рассматриваем, потому что мы просто эти возможности переносим на другую площадку. А, представлюсь. Меня зовут Фёдор. То начал, да, сразу рассказывать. Меня зовут Фёдор. Я директор партнёрского маркетинга Витамин Tools. Боше 10 лет в интернет-маркетинге. Telegram он незримо всегда присутствовал. Э самой сфере четырнадцатого года. Telegram уже тогда существовал. Он был создан в тринадцатом году. И вот постепенно он как раз разрастался и отношение к нему, соответственно, менялось, что вообще классно вылилось в двадцатом году на
[[1:30:53 | t=5453]] удалёнке на пандемии, когда действительно приток большой произошёл зарегистрированных пользователей, и эта площадка стала действительно уже настолько весомой, что сейчас мы её с вами обсуждаем, и она уже что-то не топ- один, когда её рассматривают для стратегии продвижения. Вот. Да, говоря про Telegram, возможностей много, но если это представить на такой условной карте, то вся эта и есть карта, это все те возможности. Мы используем что-то, в общем-то, ограниченное, да, вот небольшой участок тогда мы берём. Это не страшно, это нормально, потому что в
[[1:31:24 | t=5484]] первую очередь нас ограничивают бюджет. Бюджет на рекламное продвижение, бюджет на специалистов, которые должны, в общем-то, вести деятельность в этом самом мессенджере сшсоцсети. Но кроме этого у нас есть, мы же человеки всё-таки, поэтому у нас есть и время время на то, чтобы заниматься этими задачами, изучить какие-то новые инструменты возможности, ну и, конечно же, силы. Поэтому у нас есть вот эти ограничения поредэффективности и прочее, прочее, прочее. Но тем не менее мы как раз специально-то и будем сейчас вот
[[1:31:54 | t=5514]] этот обзор сделаем, чтобы в итоге мы рассмотрели, а что бы такого потестировать, чтобы посмотреть, а стоит ли это потом уже масштабировать. То есть маркетинг, SMM - это всегда про тестирование, про гипотезы. Без них, аэ, опять же, не просто так я задавал вопросы про аналитику. На основе тестирования мы видим цифры, проводим аналитику и тогда делаем конкретные выводы, и на их основе уже тогда план действий. Поэтому вот зафиксируем то, что мы сейчас обсудим, и сразу же тогда поехали. А всё наше продвижение
[[1:32:26 | t=5546]] в Телеграме должно начинаться как раз с создания канала, представительство, где мы размещаем контент. В нём мы можем размещать разные форматы материалов и таким образом аудитория, ну, в общем-то, нас может найти и может с нами здесь пообщаться. Чтобы как раз и пообщаться, мы тогда к каналу должны подключить обсуждение, он же чат, чтобы появились комментарии под постами. Ну и плюс недавнее обновление как раз то, что в канале теперь можно включить личные сообщения. То есть теперь не нужно говорить о том, что вот переходите в
[[1:32:56 | t=5576]] описание канала, там профиль, в профиль пишите, чтобы пообщаться ттатт. Теперь можно в настройках канала включить личку и в итоге вот администраторы канала тогда могут за всем этим следить. Также у нас есть и возможность интегрироваться в сторонние каналы. Это инструмент посевы, потому что мы допускаем, что тут есть целевая аудитория. Мы это, естественно, как-то проанализировали. Мы про это сейчас ещё поговорим. И, значит, договариваемся с администратором этого канала о том, чтобы вышел от его имени пост про нашу
[[1:33:28 | t=5608]] компанию, которую может уводить на наш канал, на наш сайт или куда-то ещё. Прямые эфиры тоже хороший инструмент, полезный, потому что здесь Telegram тоже расширяет возможности этой функции, потому что можно проводить, условно прямо онлайн-конференции в Телеграме. То есть ты запускаешь эфир, подключаешь нескольких участников, и эти же участники могут делиться экраном. И то есть ты видишь точно так же, как сейчас мы, экран с человеком и экран с презентацией. Поэтому, в принципе, можно адаптировать историю и сюда тоже. Главное, чтобы, а, аудитория
[[1:33:59 | t=5639]] подключалась и было удобно и привычно, потому что про удобство пока ещё сложно сказать, так как там нет у эфира чата. Нужно создавать тогда отдельный пост в канале, который говорит о том, что вот здесь в комментариях мы собираем вопросы, иначе, в общем-то, никак не сделать. Конечно, у нас есть и платное продвижение Telegram, это, да, прямая реклама через этот рекламный кабинет. А ещё мы можем запустить эту же рекламу в каналах через Яндексп. Тоже чуть позже это всё подсвечу. А ещё есть чатботы и вебапы, тоже полезные, важные функции
[[1:34:30 | t=5670]] для того, чтобы мы могли работать с аудиторией, опять же, с ней коммуницировать и куда-то переводить, чтобы, ну, в итоге мы были на связи. Всё, в общем-то, красной нитью идёт в сторону того, что взаимодействие, коммуникация, вот то, что мы делаем с вами и сейчас вот в чате обсуждаем и общаемся, так и это важно перенести в сторону Телеграма. При этом, конечно, когда мы говорим про то, чтобы представительство у нас было, мы начинаем с канала и в нём размещаем контент. А контент у нас бывает разных
[[1:35:00 | t=5700]] форматов. Это может, конечно, быть пост, естественно, это стандарт. Также у нас есть ещё возможность размещать сторис от канала, но для этого нужно, чтобы мы накопили голоса на как бы алды, если тут как бы Дуров перенял эту функции во ВКонтакте в то время, когда он там как раз руководил. Так что голоса снова для того, чтобы канал мог размещать эти самые сторисы. Затем мы можем публиковать статьи в формате Telegraph. Если что, я на всякий случай напишу это в чате. Telegram.ph.
[[1:35:32 | t=5732]] Вот на этом ресурсе, собственно, в браузере открываем. И мы можем как раз ставить статью, скопировать ссылку на неё, вставить. И после публикации, по сути, внутри Телеграма открывается окошко. И вот ты как раз видишь весь материал. Видеокружки тоже полезны как раз тем, что кружки чаще всего воспринимаются как как будто некое личное общение, как тетатет или в чатах рабочих дружеских. Но когда это публикуется от имени канала, это довольно интересно и любопытно, потому что вот она как раз есть та самая коммуникация.
[[1:36:03 | t=5763]] Кроме этих материалов мы можем, конечно, и размещать голосовые сообщения, да, такие небольшие подкастики. Ну и вот они прямые эфиры тоже мы с вами считаем как вот материал в канале, потому что как только эфир в канале запускается, вверху под аватаркой канала, как здесь на скриншоте, будет висеть плашка, что канал проводит эфир, подключайтесь. Тоже полезно для той самой коммуникации. При этом, говоря про контент, здесь мы ещё говорим о том, что по сами посты мы можем оформлять разнообразно, потому что
[[1:36:34 | t=5794]] нам в итоге это помогает создать некую историю, да, короче говоря, не делать канал скучным. То есть вот у нас может быть пост с одной картинкой, с одним видео. А ещё при этом, конечно, пост делаем из нескольких изображений, нескольких видео, так чтобы мы и тогда слишком длинные тексты в постах не размещали. Вот, пожалуйста, на визуале, на картинках мы тоже можем расположить какой-то текст, гифанимацию тоже какое-то вовлечение, какой-то интерактив сюда можем заложить. Видеокружок, пожалуй, тоже мы относим к разнообразному визуальному элементу,
[[1:37:05 | t=5825]] потому что мы не можем написать текст сразу же в кружку. То есть это тогда отдельно, но тем не менее кружок - это тоже такое информационное как элемент информации. И мы тогда тоже его размещаем. Интерактив. Интерактив нам полезен как раз, чтобы опять же ещё больше усилить историю, чтобы коучно не было аудитории. Либо можем прикрепить аудиофайл внезапно, да, какую-нибудь там мелодию, допустим, чтобы люди скачали. Но чаще всего мы можем встретить и как раз здорово использовать это опросы. Не всегда бывает такое, что ты пишешь пост
[[1:37:36 | t=5856]] и призываешь писать комментарии, и там, в общем-то, просто свирщики шумят и ноль комментариев. Поэтому можем немножечко по-другому вовлечь аудиторию. Вот опрос или, допустим, да, квиз. А в итоге мы с вами тут и запустили. А также есть и скрытые визуальные элементы. Тоже как раз это удобно и полезно тем, чтобы интригу создать. Потому что когда мы видим, что что-то скрыто за вот этим самым блюром, нам хочется рассмотреть подробнее. Мы нажимаем, смотрим, что, ну, конечно, это может быть что-то и обычное, но тем не менее уже внимание к
[[1:38:08 | t=5888]] этому материалу есть, и уже ты внимательно его смотришь. Говоря про редактирование и форматирование текста - это тоже важная, полезная штука, потому что, ну, вообще-то как раз и здорово, что в Телеграме есть этот функционал, и мы можем, в общем-то, тут так сделать, чтобы было удобно читать по размещению постов. Сразу вот это обозначим. А то, что и это как раз и тоже соотносится, как ни странно, с SM-планером, потому что когда мы занимаемся планированием постов, у нас возникает вопрос: а когда размещать, да, и как? С одной стороны,
[[1:38:39 | t=5919]] как это можно, конечно, и через внутренние инструменты, э, как раз вот как SMM-планер можно и в, э, точнее, вот внутренне внутри Телеграма в канале у нас есть к нему доступ, а можем через внешние сервисы, как SMM-планнер. Главное, чтобы мы подключили к нему доступ. А вот насчёт времени, как раз, когда у нас есть календарь, мы вот можем прямо сейчас в СМПре это всё запланировать, тут мы придерживаемся того, что мы не бежим за количеством, а, в общем-то, придерживаемся качества. То есть обычно двух-трёх постов в неделю
[[1:39:09 | t=5949]] как минимум уже хорошо, потому что мы остаёмся на слуху у аудитории, и наш канал, в общем-то, куда-то вниз тут не падает. Но тем не менее лучше это всё заранее распланировать, чтобы уделить время, да, вот время, силы на то, чтобы постараться сделать материал качественным. Не сильно, конечно, вот не как вот правильно Александр заметил, что не прямо там условно тратить неделю на материал, но тем не менее просто, чтобы это не было тяпля и готово. По а тому, что размещать, здесь подсвечу ещё такой полезный слайд, который можно как раз
[[1:39:39 | t=5979]] здорово и заскриншотить, сохранить себе. Это вот в общем-то по тому, какую суть мы доносим в материалах, чтобы опять же аудитории было интересно. А шесть основных категорий, которые каждый из них несёт определённую пользу для нас и для аудитории. И вот мы, зная всё равно цель продвижения, мы как бы с разных ракурсов в контенте это всё и подсвечиваем. Вот. А, конечно, тут и здорово сразу же затронуть эту тему, как ни странно, нейросете. Отдельно ещё подсвечу. Да, это можно, конечно, делать и и через
[[1:40:09 | t=6009]] SMM-планер. Это здорово, когда ты в одном инструменте всё это делаешь. При этом и стоит как раз учитывать и быть как держать руку на пульсе то, какие есть и основные нейросети. Их, конечно, много. А не все тут вообще можно указать. Это опять же, да, Verпleк, ранее упомянутый псик, КН. Много-много всего можно указать. Ну, просто подсвечиваю все те основные сервисы, которые заточены чуть больше на определённые задачи. В плане вот здесь, например, для текстов, для картинок лучше работают вот эти сервисы. Хотя,
[[1:40:39 | t=6039]] опять же, если говорить, например, про а Кандинский, он в том числе работает и в гигачате, потому что это оба сервиса, обе нейросети отсбера. И в итоге многие как раз компании IT-гиганты, у которых есть разнообразные сервисы для текста, для картинок и в том числе вот для видео, они это всё стараются объединить в одном инструменте, в одном ресурсе, и в итоге мы можем тоже и так тут создавать. Но пока что ещё качество бывает, что в гигачате ты не создашь супер какую-то сложную картинку с
